1,ASTON,MARTIN,1983
2,ASTON,MARTIN,1996
3,ASTON,MARTIN,2004
4,AUDI,A3,1988
5,AUDI,A3,1993
6,AUDI,A3,2000
7,AUDI,A4,1990
8,AUDI,A4,1991
9,AUDI,A4,1998
10,AUDI,TT,1981
11,AUDI,TT,1999
12,AUDI,TT,2000
13,BMW,M3,1991
14,BMW,M3,2005
15,BMW,M3,2011
16,BMW,MINI COOPER,1983
17,BMW,MINI COOPER,2005
18,BMW,MINI COOPER,2005
19,FERRARI,F430,1992
20,FERRARI,F430,1993
21,FERRARI,F430,2002
22,Ford,EXPLORER,1993
23,Ford,EXPLORER,2001
24,Ford,EXPLORER,2011
25,Ford,FOCUS,1988
26,Ford,FOCUS,1994
27,Ford,FOCUS,2009
28,Ford,MUSTANG,1980
29,Ford,MUSTANG,1989
30,Ford,MUSTANG,1997
31,Ford,TAURUS,1980
32,Ford,TAURUS,1980
33,Ford,TAURUS,2011
34,HONDA,ACCORD,1984
35,HONDA,ACCORD,1985
36,HONDA,ACCORD,2004
37,HONDA,CIVIC,1983
38,HONDA,CIVIC,1997
39,HONDA,CIVIC,1998
40,HYUNDAI,ACCENT,1991
41,HYUNDAI,ACCENT,2007
42,HYUNDAI,ACCENT,2010
43,HYUNDAI,ELANTRA,1990
44,HYUNDAI,ELANTRA,1993
45,HYUNDAI,ELANTRA,1997
46,HYUNDAI,SONATA,1982
47,HYUNDAI,SONATA,1998
48,HYUNDAI,SONATA,1999
49,KIA,SPORTAGE 2WD,1982
50,KIA,SPORTAGE 2WD,1995
51,KIA,SPORTAGE 2WD,2000
52,MAZDA,3,1983
53,MAZDA,3,2004
54,MAZDA,3,2005
55,MAZDA,MX-5,1998
56,MAZDA,MX-5,2000
57,MAZDA,MX-5,2006
58,Mitsubishi,GALANT,1995
59,Mitsubishi,GALANT,1999
60,Mitsubishi,GALANT,2005
61,Mitsubishi,LANCER,1987
62,Mitsubishi,LANCER,1993
63,Mitsubishi,LANCER,1999
64,PORSCHE,BOXSTER,1998
65,PORSCHE,BOXSTER,2002
66,PORSCHE,BOXSTER,2010
67,Rolls-Royce,PHANTOM,1980
68,Rolls-Royce,PHANTOM,2006
69,Rolls-Royce,PHANTOM,2011
70,SUZUKI,GRAND VITARA,1990
71,SUZUKI,GRAND VITARA,1996
72,SUZUKI,GRAND VITARA,2009
73,TOYOTA,4RUNNER,1981
74,TOYOTA,4RUNNER,1992
75,TOYOTA,4RUNNER,1999
76,TOYOTA,COROLLA,1980
77,TOYOTA,COROLLA,1996
78,TOYOTA,COROLLA,2012
79,TOYOTA,RAV4,1981
80,TOYOTA,RAV4,1984
81,TOYOTA,RAV4,1991
82,VOLKSWAGEN,GOLF,2004
83,VOLKSWAGEN,GOLF,2004
84,VOLKSWAGEN,GOLF,2011
85,VOLKSWAGEN,NEW BEETLE,1980
86,VOLKSWAGEN,NEW BEETLE,1993
87,VOLKSWAGEN,NEW BEETLE,2002
88,VOLVO,S40,1980
89,VOLVO,S40,2002
90,VOLVO,S40,2004
91,VOLVO,S60,1982
92,VOLVO,S60,2003
93,VOLVO,S60,2010
94,VOLVO,S80,1985
95,VOLVO,S80,1990
96,VOLVO,S80,1999
